compound_id,method_id,rt_min,rsd_source,retention_factor_source,source_file,source_row
160,M13,10.61,0.0015,7.35,Dataset 13.xlsx,153
160,M14,10.47,0.0022,12.96,Dataset 14.xlsx,153
160,M15,8.54,0.0214,4.34,Dataset 15.xlsx,153
160,M16,18.83,0.001,14.06,Dataset 16.xlsx,153
160,M17,3.03,0.0079,2.29,Dataset 17.xlsx,153
160,M18,5.26,0,2.65,Dataset 18.xlsx,153
160,M19,4.55,0.0011,2.33,Dataset 19.xlsx,153
160,M20,5.56,0.0065,7.9,Dataset 20.xlsx,152
160,M21,4.52,0.0047,2.21,Dataset 21.xlsx,152
160,M22,8.71,0.0025,6.2,Dataset 22.xlsx,152
160,M23,7.46,0.002,8.95,Dataset 23.xlsx,152
160,M24,8.52,0.0024,4.46,Dataset 24.xlsx,152
160,M25,9.75,0.0022,6.5,Dataset 25.xlsx,161
160,M26,8.16,0.0024,9.47,Dataset 26.xlsx,161
160,M27,8.94,0.0038,5.93,Dataset 27.xlsx,161
160,M28,7.63,0.0032,8.78,Dataset 28.xlsx,161
160,M29,8.84,0.0021,4.29,Dataset 29.xlsx,161
160,M30,5.68,0.0005,3.21,Dataset 30.xlsx,161
161,M01,6.99,0.002,4.5,Dataset 01.xlsx,154
161,M02,9.35,0.0006,9.21,Dataset 02.xlsx,154
161,M03,9.44,0.0006,5.95,Dataset 03.xlsx,154
161,M04,8.57,0.0006,5.2,Dataset 04.xlsx,154
161,M05,8.45,0,5.45,Dataset 05.xlsx,154
161,M06,11.86,0.0007,7.47,Dataset 06.xlsx,154
161,M07,12.83,0.0017,8.36,Dataset 07.xlsx,154
161,M08,17.21,0.0004,17.91,Dataset 08.xlsx,154
161,M09,15.96,0.0009,16.12,Dataset 09.xlsx,154
161,M10,18.82,0.0003,12.94,Dataset 10.xlsx,154
161,M11,17.84,0,12.46,Dataset 11.xlsx,154
161,M12,24.23,0.0003,24.72,Dataset 12.xlsx,154
161,M13,23.8,0,17.74,Dataset 13.xlsx,154
161,M14,20.18,0.0015,25.91,Dataset 14.xlsx,154
161,M15,23.97,0.0003,13.98,Dataset 15.xlsx,154
161,M16,51.53,0.0003,40.22,Dataset 16.xlsx,154
161,M17,6.67,0.0027,6.25,Dataset 17.xlsx,154
161,M18,9.19,0.0027,5.38,Dataset 18.xlsx,154
161,M19,6.67,0.0007,3.88,Dataset 19.xlsx,154
161,M20,9.11,0.0003,13.58,Dataset 20.xlsx,153
161,M21,6.42,0,3.55,Dataset 21.xlsx,153
161,M22,14.55,0.0019,11.02,Dataset 22.xlsx,153
161,M23,12.41,0.0006,15.54,Dataset 23.xlsx,153
161,M24,14.74,0.0004,8.45,Dataset 24.xlsx,153
161,M25,13.66,0.0001,9.51,Dataset 25.xlsx,162
161,M26,12.34,0.002,14.82,Dataset 26.xlsx,162
161,M27,15.57,0.0013,11.07,Dataset 27.xlsx,162
161,M28,13.51,0,16.32,Dataset 28.xlsx,162
161,M29,15.46,0.0021,8.26,Dataset 29.xlsx,162
161,M30,9.42,0.0005,5.98,Dataset 30.xlsx,162
162,M01,7.34,0.0019,4.78,Dataset 01.xlsx,155
162,M02,9.73,0.0006,9.63,Dataset 02.xlsx,155
162,M03,10.16,0.0004,6.48,Dataset 03.xlsx,155
162,M04,9.35,0.0009,5.76,Dataset 04.xlsx,155
162,M05,9.19,0,6.02,Dataset 05.xlsx,155
